date,ticker,name,sector,industry,price,low_52w,high_52w,pct_from_low,pct_from_high,dividend_yield_pct,trailing_pe,market_cap,updated_at
2026-09-11,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,196.82,195.06,289.87,0.9,-32.1,2.54,16.64,110426652672.0,2026-09-14T07:03:13.621351+00:00
2026-09-11,PEP,"Pepsico, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,136.32,131.99,166.41,3.28,-18.08,4.33,17.87,186213122048.0,2026-09-14T07:03:22.808095+00:00
2026-09-11,UVV,Universal Corporation,Consumer Defensive,Tobacco,45.18,43.36,57.51,4.2,-21.44,7.35,59.45,1124948352.0,2026-09-14T07:03:37.737834+00:00
2026-09-11,HRL,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,20.57,19.47,26.43,5.67,-22.17,5.69,33.18,11320715264.0,2026-09-14T07:03:34.945279+00:00
2026-09-11,FUL,H. B. Fuller Company,Basic Materials,Specialty Chemicals,51.6,48.3,68.05,6.84,-24.17,1.9,15.31,2775430400.0,2026-09-14T07:03:04.506774+00:00
2026-09-11,PG,Procter & Gamble Company (The),Consumer Defensive,Household & Personal Products,145.27,134.62,164.77,7.91,-11.83,3.0,21.94,337670406144.0,2026-09-14T07:03:31.616084+00:00
2026-09-11,NFG,National Fuel Gas Company,Energy,Oil & Gas Integrated,81.0,74.64,96.03,8.52,-15.65,2.7,11.28,7698652672.0,2026-09-14T07:03:16.431314+00:00
2026-09-11,KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,98.15,90.09,123.55,8.95,-20.56,5.22,19.4,32579946496.0,2026-09-14T07:03:32.915258+00:00
2026-09-11,RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,100.21,91.96,125.84,8.97,-20.37,2.16,19.38,12791104512.0,2026-09-14T07:03:15.057031+00:00
2026-09-11,WMT,Walmart Inc.,Consumer Defensive,Discount Stores,107.15,98.05,134.84,9.28,-20.53,92.0,38.82,850100944896.0,2026-09-14T07:03:12.959143+00:00
2026-09-11,ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,268.16,234.38,301.92,14.41,-11.18,2.59,24.27,76371968000.0,2026-09-14T07:03:24.170970+00:00
2026-09-11,FTS,Fortis Inc.,Utilities,Utilities - Regulated Electric,54.37,47.5,58.92,14.47,-7.71,3.41,22.1,27777632256.0,2026-09-14T07:03:27.020568+00:00
2026-09-11,SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,410.71,358.55,518.88,14.55,-20.85,94.0,25.0,121077309440.0,2026-09-14T07:03:27.697754+00:00
2026-09-11,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,169.8,147.54,194.81,15.09,-12.84,2.21,8.02,26060572672.0,2026-09-14T07:03:34.263745+00:00
2026-09-11,TNC,Tennant Company,Industrials,Specialty Industrial Machinery,68.74,59.62,91.52,15.3,-24.89,1.8,66.1,1171969152.0,2026-09-14T07:03:38.426185+00:00
2026-09-11,ED,"Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,106.46,92.2,114.33,15.46,-6.88,3.3,17.51,39371956224.0,2026-09-14T07:03:26.319456+00:00
2026-09-11,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,105.5,91.35,130.99,15.49,-19.46,2.81,15.14,23452649472.0,2026-09-14T07:03:28.651968+00:00
2026-09-11,TR,"Tootsie Roll Industries, Inc.",Consumer Defensive,Confectioners,38.89,33.21,44.95,17.12,-13.48,93.0,30.62,2923091200.0,2026-09-14T07:03:20.024484+00:00
2026-09-11,CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,86.8,73.22,98.15,18.55,-11.57,2.41,34.17,69194604544.0,2026-09-14T07:03:21.389079+00:00
2026-09-11,CWT,California Water Service Group,Utilities,Utilities - Regulated Water,48.22,40.39,53.46,19.38,-9.81,2.78,21.62,2981881600.0,2026-09-14T07:03:23.475205+00:00
2026-09-11,DOV,Dover Corporation,Industrials,Specialty Industrial Machinery,189.05,157.36,235.79,20.14,-19.82,1.11,22.89,25461297152.0,2026-09-14T07:03:24.850478+00:00
2026-09-11,NWN,Northwest Natural Holding Compa,Utilities,Utilities - Regulated Gas,48.44,39.85,54.92,21.55,-11.81,4.07,16.2,2039010816.0,2026-09-14T07:03:06.648727+00:00
2026-09-11,MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,182.18,149.32,207.14,22.0,-12.05,1.19,22.69,7028192256.0,2026-09-14T07:03:20.697017+00:00
